State,Code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>75,Grand Total
JOHOR,Johor,2011,1,1,2,5,24,18,18,9,4,3,4,1,0,1,0,0,91
KEDAH,Kedah,2011,0,0,1,5,8,16,9,6,3,6,4,0,2,0,0,1,61
KELANTAN,Kelantan,2011,4,6,12,13,42,42,29,33,24,14,7,6,3,4,0,1,240
MELAKA,Melaka,2011,0,0,0,6,2,2,2,1,2,0,0,0,0,0,0,0,15
NEGERI SEMBILAN,Negeri Sembilan,2011,2,0,1,18,33,41,28,19,15,6,3,2,0,1,1,0,170
PAHANG,Pahang,2011,5,6,9,15,44,67,47,34,30,13,14,6,0,0,2,0,292
PERAK,Perak,2011,0,3,10,7,29,30,16,24,10,12,13,3,5,3,0,1,166
PERLIS,Perlis,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PULAU PINANG,Pulau Pinang,2011,1,0,1,11,18,18,12,6,9,4,1,4,3,0,0,0,88
SABAH,Sabah,2011,65,145,184,252,264,211,206,145,143,131,97,68,42,29,25,25,2032
SARAWAK,Sarawak,2011,101,117,115,115,143,163,147,191,173,168,115,77,54,30,23,29,1761
