State,Code,Year,0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,>75,Grand Total,lng,lat
MALAYSIA,MYS,2017,26,63,133,261,400,476,471,451,455,379,336,267,178,95,61,62,4114,109,3.7
JOHOR,Johor,2018,0,0,0,2,10,16,9,11,8,3,2,3,,,,,64,103.7414,1.4927
KEDAH,Kedah,2018,0,1,0,0,2,1,6,9,6,1,4,4,,,,,34,100.3685,6.1184
KELANTAN,Kelantan,2018,1,1,3,6,18,20,19,17,10,16,9,15,,,,,135,102.2386,6.1254
MELAKA,Melaka,2018,0,0,0,0,2,1,1,0,1,0,1,1,,,,,7,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2018,1,0,0,2,3,6,7,4,0,6,4,8,,,,,41,101.9424,2.7258
PULAU PINANG,Pulau Pinang,2018,0,0,0,0,0,1,1,1,2,0,0,1,,,,,6,100.3288,5.4141
PAHANG,Pahang,2018,1,3,2,6,14,15,18,10,10,6,14,24,,,,,123,103.3256,3.8126
PERAK,Perak,2018,0,4,3,15,17,17,35,24,12,18,16,23,,,,,184,101.0901,4.5921
PERLIS,Perlis,2018,0,0,0,0,0,0,0,1,0,0,0,0,,,,,1,100.2048,6.4449
SABAH,Sabah,2018,20,56,99,212,237,250,278,261,181,196,162,364,,,,,2316,116.0753,5.9788
SARAWAK,Sarawak,2018,0,11,40,71,95,123,154,170,193,213,177,307,,,,,1554,110.3592,1.5533
SELANGOR,Selangor,2018,1,1,0,9,17,14,14,14,9,5,9,9,,,,,102,101.5183,3.0738
TERENGGANU,Terengganu,2018,0,0,0,1,2,6,6,8,7,3,2,10,,,,,45,103.1324,5.3117
WP LABUAN,WPKL,2018,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,101.6869,3.139
WP KUALA LUMPUR,WPLabuan,2018,0,0,1,1,3,1,3,0,3,2,1,3,,,,,18,115.2308,5.2831
MALAYSIA,MYS,2018,24,77,148,325,420,471,551,530,442,469,401,772,,,,,4630,109,3.7
JOHOR,Johor,2019,1,1,0,0,4,2,3,6,1,4,3,3,,,,,28,103.7414,1.4927
KEDAH,Kedah,2019,0,0,0,0,1,2,2,1,1,0,2,3,,,,,12,100.3685,6.1184
KELANTAN,Kelantan,2019,2,3,1,3,15,18,17,16,8,9,8,19,,,,,119,102.2386,6.1254
MELAKA,Melaka,2019,0,0,1,0,1,0,0,2,0,1,0,2,,,,,7,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2019,1,2,0,2,3,6,3,4,3,3,4,6,,,,,37,101.9424,2.7258
PULAU PINANG,Pulau Pinang,2019,0,0,0,0,1,0,2,1,0,1,0,1,,,,,6,100.3288,5.4141
PAHANG,Pahang,2019,7,14,7,11,7,15,17,14,7,9,9,11,,,,,128,103.3256,3.8126
PERAK,Perak,2019,1,1,6,3,13,14,13,10,7,8,11,6,,,,,93,101.0901,4.5921
PERLIS,Perlis,2019,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,100.2048,6.4449
SABAH,Sabah,2019,29,72,107,179,162,226,264,239,162,163,131,313,,,,,2047,116.0753,5.9788
SARAWAK,Sarawak,2019,1,6,15,59,62,88,146,162,176,174,157,269,,,,,1315,110.3592,1.5533
SELANGOR,Selangor,2019,0,2,1,7,17,19,20,16,11,9,5,6,,,,,113,101.5183,3.0738
TERENGGANU,Terengganu,2019,0,0,0,2,2,3,2,5,4,1,1,5,,,,,25,103.1324,5.3117
WP LABUAN,WPKL,2019,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,101.6869,3.139
WP KUALA LUMPUR,WPLabuan,2019,0,0,1,1,1,1,2,1,2,0,0,2,,,,,11,115.2308,5.2831
MALAYSIA,MYS,2019,42,101,139,267,289,394,491,477,382,382,331,646,,,,,3941,109,3.7
JOHOR,Johor,2020,0,0,0,4,9,7,1,4,1,1,0,1,,,,,28,103.7414,1.4927
KEDAH,Kedah,2020,0,0,2,2,6,0,1,0,1,0,1,0,,,,,13,100.3685,6.1184
KELANTAN,Kelantan,2020,2,5,13,9,17,11,10,17,11,3,3,10,,,,,111,102.2386,6.1254
MELAKA,Melaka,2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2020,0,0,0,1,1,2,3,2,1,0,0,2,,,,,12,101.9424,2.7258
PULAU PINANG,Pulau Pinang,2020,4,4,5,7,15,14,2,5,5,3,4,6,,,,,74,100.3288,5.4141
PAHANG,Pahang,2020,2,8,10,4,5,13,13,10,12,11,7,4,,,,,99,103.3256,3.8126
PERAK,Perak,2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,101.0901,4.5921
PERLIS,Perlis,2020,0,0,0,0,0,0,0,0,0,0,2,0,,,,,2,100.2048,6.4449
SABAH,Sabah,2020,42,57,158,149,179,186,175,137,113,99,95,147,,,,,1537,116.0753,5.9788
SARAWAK,Sarawak,2020,4,20,62,64,77,93,86,88,107,91,69,101,,,,,862,110.3592,1.5533
SELANGOR,Selangor,2020,1,0,6,5,4,13,14,6,5,5,5,4,,,,,68,101.5183,3.0738
TERENGGANU,Terengganu,2020,0,0,0,2,4,4,2,4,2,3,4,3,,,,,28,103.1324,5.3117
WP LABUAN,WPKL,2020,0,0,1,0,2,1,1,0,0,0,0,0,,,,,5,101.6869,3.139
WP KUALA LUMPUR,WPLabuan,2020,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,115.2308,5.2831
MALAYSIA,MYS,2020,55,94,257,247,319,344,308,273,258,216,190,278,,,,,2839,109,3.7
JOHOR,Johor,2021,0,0,0,1,2,5,1,0,2,2,0,2,,,,,15,103.7414,1.4927
KEDAH,Kedah,2021,0,0,0,1,1,1,1,1,1,0,0,2,,,,,8,100.3685,6.1184
KELANTAN,Kelantan,2021,0,2,6,5,16,21,23,17,8,6,6,14,,,,,124,102.2386,6.1254
MELAKA,Melaka,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,102.2501,2.1896
NEGERI SEMBILAN,Negeri Sembilan,2021,0,0,0,2,1,0,0,3,2,0,1,4,,,,,13,101.9424,2.7258
PULAU PINANG,Pulau Pinang,2021,1,2,5,14,19,12,5,14,10,6,5,11,,,,,104,100.3288,5.4141
PAHANG,Pahang,2021,1,1,5,10,5,11,16,10,11,9,8,7,,,,,94,103.3256,3.8126
PERAK,Perak,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,101.0901,4.5921
PERLIS,Perlis,2021,0,0,1,0,1,0,0,0,0,0,0,0,,,,,2,100.2048,6.4449
SABAH,Sabah,2021,75,113,181,200,262,244,248,207,174,161,125,214,,,,,2204,116.0753,5.9788
SARAWAK,Sarawak,2021,14,36,74,78,92,113,106,109,116,97,90,132,,,,,1057,110.3592,1.5533
SELANGOR,Selangor,2021,0,0,0,4,3,1,3,6,5,2,1,4,,,,,29,101.5183,3.0738
TERENGGANU,Terengganu,2021,0,0,1,4,4,6,4,5,0,2,1,9,,,,,36,103.1324,5.3117
WP LABUAN,WPKL,2021,0,0,0,0,1,0,0,0,0,0,0,0,,,,,1,101.6869,3.139
WP KUALA LUMPUR,WPLabuan,2021,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,115.2308,5.2831
MALAYSIA,MYS,2021,91,154,273,319,407,414,407,372,329,285,237,399,,,,,3687,109,3.7
